network_code,receiver_code,stw_start_time,stalta_Z,sta_Z,stalta_N,sta_N,stalta_E,sta_E,label
PB,B082,2016-04-18T03:15:01.530000Z,2.577236987,9.54E-09,2.51467527,9.52E-09,2.817582239,9.07E-09,E
PB,B916,2012-01-06T19:05:22.610000Z,8.107722466,2.67E-08,10.46890596,3.00E-08,9.455924523,2.68E-08,E
SN,TYM,2017-07-15T08:31:23.343280Z,29.61526164,9.30E-08,46.18653481,1.57E-07,40.28188966,1.29E-07,E
HV,MLOD,2018-04-27T20:51:41.700000Z,1.055518649,1.83E-06,1.411134744,3.99E-06,0.848372017,1.88E-06,E
AK,SCM,2011-10-05T06:10:45.308000Z,1.187704031,1.42E-07,0.831778073,8.74E-08,1.916518729,1.57E-07,E
NN,LHV,2017-10-20T01:27:30.519390Z,0.60242253,1.71E-07,1.296051632,9.34E-07,0.855782494,3.72E-07,E
PB,B086,2013-03-27T19:22:01.570000Z,8.581805134,1.61E-07,16.83011202,2.00E-07,4.143140196,2.21E-07,E
GS,KAN17,2017-01-24T01:31:54.800000Z,9.023882517,3.34E-06,3.48521784,3.52E-06,10.20142242,3.80E-06,E
NN,WVA,2013-09-16T09:29:02.988410Z,2.048900866,9.50E-09,2.469540588,1.14E-08,2.010392072,9.76E-09,E
NN,TBRD,2017-11-20T21:42:37.446940Z,1.020116303,5.41E-06,0.904749239,3.32E-06,0.721179633,4.54E-06,E
NN,LCH,2016-02-12T07:59:33.081160Z,1.280469817,5.91E-07,1.254756134,3.60E-07,1.150129461,4.30E-07,E
PB,B081,2012-10-28T07:47:01.580000Z,4346.273216,2.66E-05,7382.702188,2.73E-05,6817.241258,2.96E-05,E
AK,CCB,2018-01-09T06:36:27.000000Z,1.519227049,2.22E-07,1.467569286,2.31E-07,0.854602014,2.16E-07,E
PB,B082,2013-02-24T08:38:43.430000Z,5.616079124,2.15E-08,6.723183193,2.18E-08,7.217217104,2.12E-08,E
SN,SGR,2014-04-11T05:44:29.118770Z,0.86302696,5.53E-09,0.938231152,5.36E-09,0.943329816,4.38E-09,E
PB,B082,2007-09-04T09:47:04.130000Z,160.5034734,4.64E-07,160.3430929,4.39E-07,170.3226603,4.40E-07,E
NN,PAH,2015-04-10T09:38:42.864300Z,0.830676425,5.47E-08,1.216783507,5.90E-08,1.085644736,8.53E-08,E
PB,B081,2013-06-07T08:41:32.790000Z,12.39516125,3.74E-08,18.35422307,5.87E-08,12.51818315,3.57E-08,E
NN,COLR,2015-09-15T12:20:58.918760Z,29.38697262,2.24E-06,7.636450918,2.62E-06,12.01911568,2.84E-06,E
GS,KAN05,2017-12-17T19:39:59.640000Z,3.074470437,9.53E-07,1.003860847,2.17E-06,1.50936704,1.21E-06,E
ZQ,AAM3,2008-06-04T17:18:43.520000Z,1.840621856,6.35E-07,1.26819085,1.41E-05,0.985273863,1.90E-08,E
NN,RYN,2017-01-12T11:35:59.162660Z,3.492113781,6.63E-07,3.884916487,6.94E-07,4.621764232,8.54E-07,E
PB,B081,2014-04-19T07:53:26.500000Z,18.26915537,5.30E-08,35.0805853,1.02E-07,25.16250167,6.59E-08,E
GS,KAN11,2015-03-06T16:13:16.320000Z,4.610037327,1.62E-06,1.218252557,5.67E-06,1.063497644,6.13E-06,E
PB,B066,2011-11-06T23:34:43.400000Z,3.20886812,3.89E-08,3.22388429,3.98E-08,3.662983283,3.58E-08,E
PB,B014,2012-05-25T17:30:10.440000Z,29.19616523,1.11E-07,34.37752606,1.12E-07,31.13820494,1.37E-07,E
PB,B084,2016-11-19T21:13:31.510000Z,13.00572215,3.08E-08,8.300709359,2.58E-08,6.868735854,2.35E-08,E
NN,BEK,2017-07-05T13:15:17.818720Z,1.489612368,7.47E-08,1.62945444,5.75E-08,1.298863423,5.21E-08,E
AK,KLU,2011-02-07T08:02:54.047000Z,1.684497872,4.32E-07,2.086759866,4.69E-07,1.818052866,4.31E-07,E
PB,B058,2014-12-06T02:31:53.370000Z,37.73132037,1.77E-07,40.9848075,1.87E-07,51.51733842,1.94E-07,E
PB,B081,2015-07-01T04:05:43.240000Z,1.824328463,6.01E-09,3.130472851,1.09E-08,2.121440755,5.97E-09,E
PB,B082,2012-11-15T04:23:03.040000Z,20.11886522,5.49E-08,27.38393461,7.28E-08,31.17218429,7.35E-08,E
SN,DOM,2016-12-22T08:42:13.276160Z,8.127232291,5.00E-08,6.834530965,4.72E-08,5.02931434,4.60E-08,E
HV,MLOD,2015-04-29T08:29:33.060000Z,1.058361504,2.55E-06,0.949999275,3.20E-06,0.496954743,1.73E-06,E
NN,LHV,2014-04-26T01:36:57.308960Z,1.760946604,2.31E-07,1.18717452,2.13E-07,1.13795685,3.17E-07,E
PB,B065,2017-07-11T18:19:50.440000Z,149.9651896,5.77E-07,200.6415227,7.62E-07,192.8898515,6.59E-07,E
GS,KAN16,2016-07-31T14:39:06.820000Z,2.974074319,1.13E-06,1.802723849,1.71E-06,1.802061915,3.29E-06,E
AK,FID,2010-10-10T11:59:19.900000Z,5.052509399,6.61E-07,4.558509634,1.06E-06,4.874130487,1.05E-06,E
PB,B084,2016-11-04T08:48:54.800000Z,23.73473149,4.79E-08,13.70935215,3.13E-08,11.35673827,3.06E-08,E
AZ,FRD,2016-06-10T09:44:25.790000Z,13.6176248,1.58E-06,9.556922287,8.66E-07,7.701882878,8.53E-07,E
NN,RYN,2012-01-01T18:11:03.246360Z,2.830414649,3.79E-07,6.541369174,6.31E-07,3.371098614,7.05E-07,E
NN,OMMB,2014-03-16T14:40:54.510000Z,1.053596747,2.01E-07,0.433453246,9.70E-08,0.932616603,2.44E-07,E
ZQ,AAM2,2009-03-23T06:24:59.530000Z,0.826624687,1.71E-07,0.157807604,9.62E-07,0.929068611,1.96E-07,E
PB,B084,2017-10-04T05:45:40.110000Z,45.35094729,1.08E-07,27.1190262,6.73E-08,32.12845904,9.58E-08,E
NN,RYN,2016-12-30T23:20:23.323040Z,1.497105403,1.75E-07,0.954554377,1.14E-07,0.353416104,7.73E-08,E
PB,B087,2010-12-19T08:14:58.030000Z,5.324297846,1.99E-08,6.781499717,1.91E-08,4.965653196,1.85E-08,E
AZ,BZN,2015-05-03T10:07:02.510000Z,1.414749537,2.72E-07,0.700316192,1.34E-07,1.110330502,1.79E-07,E
HV,DESD,2017-08-08T18:27:28.620000Z,10.0548682,1.17E-06,6.834265419,1.73E-06,6.082748184,1.76E-06,E
NN,DON,2016-01-26T01:27:37.031810Z,12.95814188,1.01E-07,16.54185089,1.25E-07,15.25249382,1.22E-07,E
PB,B082,2011-08-11T03:52:00.360000Z,3.48027653,1.03E-08,3.745376552,1.06E-08,3.975516473,1.05E-08,E
HV,PAUD,2015-05-14T11:30:16.920000Z,9.510736326,6.85E-06,6.488046871,1.15E-05,6.462990146,8.23E-06,E
HV,AHUD,2015-04-29T18:53:22.430000Z,2.883923826,3.96E-07,1.31784696,1.35E-06,1.627801047,1.04E-06,E
SN,DOM,2017-06-28T17:43:53.998170Z,9.167050952,5.32E-08,6.939549451,4.78E-08,5.939113834,4.64E-08,E
SN,TYM,2015-06-27T14:31:12.140480Z,23.5366797,7.63E-08,30.43300109,1.11E-07,27.29637655,9.11E-08,E
AZ,CRY,2008-01-16T04:25:13.090000Z,12.79498598,2.40E-06,6.035316451,2.16E-06,8.595601986,2.30E-06,E
AK,WAT6,2018-07-27T06:50:33.191000Z,10.20872524,4.12E-07,18.35721398,7.53E-07,13.97051963,6.72E-07,E
HV,AHUD,2017-09-22T12:32:56.070000Z,2.546319784,1.95E-07,1.31863418,5.77E-07,1.528417528,5.16E-07,E
AV,CRP,2014-01-30T00:06:30.430000Z,3.608264396,2.67E-08,3.671335713,7.67E-08,2.868643571,2.86E-08,E
SN,TYM,2017-10-29T15:58:15.556070Z,1.65936269,7.12E-09,1.645678064,8.70E-09,1.902888381,8.33E-09,E
TA,C26K,2017-06-04T22:22:30.396000Z,13.02273661,1.16E-06,18.25744712,1.25E-06,15.38611316,1.43E-06,E
PB,B086,2015-06-07T06:46:17.940000Z,4.73563423,2.01E-08,9.423613316,2.30E-08,9.361019016,2.66E-08,E
PB,B086,2007-06-26T09:48:02.780000Z,3.259849594,8.53E-09,3.325617896,8.45E-09,3.417348031,8.57E-09,E
TA,O20K,2017-10-19T14:57:24.219000Z,1.45158655,1.62E-06,1.450646926,1.50E-06,1.007697599,1.39E-06,E
PB,B084,2014-04-13T02:00:11.670000Z,7.446927076,1.76E-08,4.690800221,1.34E-08,4.272266064,1.26E-08,E
AK,PPLA,2012-04-09T02:19:00.490000Z,1.302311843,2.45E-07,0.961297389,2.06E-07,1.568368282,3.19E-07,E
PB,B087,2013-04-01T03:17:26.450000Z,31.42718176,1.08E-07,32.78962981,1.01E-07,30.89205313,9.90E-08,E
AK,WAT1,2017-12-10T23:07:33.138000Z,1.726054905,4.06E-07,1.201569802,3.84E-07,0.785831349,2.29E-07,E
AK,SCM,2016-11-23T04:13:40.640000Z,1.293932303,4.73E-07,1.216380932,5.77E-07,1.534462717,7.98E-07,E
PB,B201,2012-06-22T13:04:43.120000Z,4.754842609,3.75E-08,8.781116921,4.10E-08,8.547109789,3.82E-08,E
HV,DESD,2016-01-31T08:06:08.490000Z,8.46508253,1.07E-06,5.195806107,1.32E-06,3.654595912,1.60E-06,E
PB,B082,2016-06-08T15:01:02.940000Z,2.085864157,6.68E-09,1.87231512,5.63E-09,2.243946537,6.27E-09,E
AK,SSP,2017-08-01T00:36:47.897000Z,3.56275041,5.29E-07,3.107858525,6.57E-07,4.356088077,6.72E-07,E
NN,PRN,2015-05-26T06:43:48.628760Z,2.664588649,2.13E-07,2.135237327,1.48E-07,2.241525529,1.70E-07,E
AK,MDM,2012-01-21T19:50:23.343000Z,1.404867338,4.40E-07,1.541225073,4.81E-07,0.845292108,6.02E-07,E
PB,B093,2011-02-07T18:34:31.310000Z,24.00053159,8.33E-08,26.64879589,8.66E-08,27.21170245,9.03E-08,E
AV,AUSB,2018-04-11T05:21:05.904000Z,0.587212562,4.54E-07,0.849009087,4.76E-07,0.681978865,3.89E-07,E
AK,WAT1,2018-03-21T05:45:01.350000Z,2.053899151,3.00E-07,1.357129607,2.18E-07,1.851477881,2.27E-07,E
HV,RIMD,2018-07-17T06:05:55.250000Z,8.220330102,2.63E-05,6.15431746,5.57E-05,7.186146559,4.57E-05,E
AZ,CRY,2016-09-02T09:08:04.520000Z,1.017208883,8.59E-08,1.195827876,1.97E-07,1.218915565,1.77E-07,E
HV,ALEP,2017-04-29T09:02:19.820000Z,5.058643347,8.64E-08,4.368821574,1.42E-07,4.736407893,1.54E-07,E
HV,ALEP,2017-08-14T14:31:34.670000Z,36.0432722,5.24E-07,29.68051943,1.03E-06,32.5555553,1.13E-06,E
AK,MCK,2003-10-20T11:04:09.140000Z,19.35929224,1.47E-06,9.680479085,1.47E-06,10.5924283,1.50E-06,E
PB,B081,2007-05-02T22:12:16.820000Z,3.219092937,1.94E-08,0.972602562,1.06E-08,4.864548083,2.45E-08,E
PB,B082,2018-04-23T23:46:52.810000Z,2.609293039,1.06E-08,2.884722738,1.03E-08,3.150404007,1.03E-08,E
HV,NAHU,2015-05-01T16:28:34.880000Z,5.124648707,1.23E-06,2.095159305,1.40E-06,2.272058977,1.51E-06,E
AK,NIKH,2018-03-31T22:24:33.248000Z,0.787216171,1.28E-06,1.970909944,2.52E-06,1.946921887,2.41E-06,E
NN,TBRD,2017-12-03T22:21:05.014330Z,0.787672436,5.85E-06,0.803429675,5.81E-06,0.520258264,4.76E-06,E
PB,B086,2011-02-15T02:49:11.270000Z,1.529191883,5.21E-08,1.476894965,7.31E-08,1.088067341,1.82E-07,E
HV,AHUD,2016-02-13T11:59:04.120000Z,15.57423459,3.46E-06,6.265235172,7.94E-06,7.099553357,6.40E-06,E
PB,B082,2013-07-17T15:03:33.360000Z,2.307479589,1.00E-08,3.064931652,1.10E-08,2.987010767,1.06E-08,E
HV,HSSD,2018-08-01T15:24:53.680000Z,1.380839863,1.75E-06,1.334274198,1.60E-06,1.166665555,1.40E-06,E
PB,B918,2017-06-12T11:50:12.860000Z,72.74818627,7.87E-07,63.09887426,4.14E-07,66.10354441,4.48E-07,E
HV,ALEP,2015-07-10T21:25:59.510000Z,15.62227749,2.27E-07,11.88351631,4.07E-07,13.06024982,4.31E-07,E
SN,TYM,2012-12-17T05:45:20.239810Z,24.83545571,1.50E-07,30.4993586,2.15E-07,26.65741815,1.52E-07,E
PB,B084,2016-02-06T05:35:01.980000Z,5.490385194,1.17E-08,3.904699939,9.31E-09,3.132159136,8.76E-09,E
PB,B087,2011-03-03T23:02:32.920000Z,7.000360148,3.15E-08,8.87407064,3.44E-08,8.749932056,3.51E-08,E
PB,B076,2016-09-19T22:00:47.150000Z,13.93319027,5.18E-08,14.55278444,4.51E-08,21.2072224,5.40E-08,E
PB,B916,2016-09-21T17:38:09.350000Z,1.996415634,1.72E-08,2.021376682,1.78E-08,1.739483617,1.36E-08,E
TA,G30M,2018-06-10T01:01:00.762000Z,53.5495903,3.45E-06,57.87396682,3.69E-06,84.20818642,3.95E-06,E
PB,B084,2011-01-20T20:32:35.100000Z,8.818921915,2.50E-08,5.927774901,1.92E-08,4.734874502,1.57E-08,E
AT,PMR,2017-11-07T16:08:46.036000Z,0.600363322,2.09E-07,0.639171004,2.72E-07,0.974965157,3.76E-07,E
ET,DYTN,2014-06-22T06:01:49.800000Z,25.24447897,5.34E-06,23.08380182,7.23E-06,24.34425014,8.51E-06,E
AK,SSN,2018-07-06T15:40:07.670000Z,1.113328572,6.90E-08,1.832570558,1.05E-07,1.274104534,9.03E-08,E
NN,LHV,2017-01-01T19:37:34.668830Z,2.120290464,3.01E-07,1.303495631,4.45E-07,1.355457959,3.46E-07,E
PB,B011,2015-02-24T23:40:39.350000Z,3.665303716,4.33E-08,4.310936117,4.58E-08,3.311728053,3.81E-08,E
AV,AU22,2018-06-24T12:53:31.760000Z,2.380657621,4.98E-07,2.336491403,4.53E-07,2.377004602,5.41E-07,E
PB,B093,2011-07-20T15:19:46.410000Z,10.11595944,3.35E-08,10.25481818,3.32E-08,10.0990502,3.53E-08,E
AV,TAFP,2011-04-03T08:38:33.448000Z,19.96612836,1.09E-06,9.842813247,8.32E-07,4.80469502,6.32E-07,E
HV,PAUD,2018-06-28T17:55:22.020000Z,1.359310842,8.55E-07,0.775679133,1.66E-06,0.645527477,1.06E-06,E
PB,B084,2012-02-04T14:31:32.560000Z,1.872553592,9.30E-09,1.721748367,6.84E-09,1.560229456,6.52E-09,E
HV,DESD,2017-05-23T15:39:56.730000Z,126.0440004,1.39E-05,71.82852674,2.30E-05,73.86924854,2.41E-05,E
PB,B081,2013-12-12T02:39:38.990000Z,9.056445672,3.02E-08,11.37028862,4.82E-08,10.67850031,3.04E-08,E
AZ,KNW,2012-11-15T21:33:05.270000Z,1.251059279,1.78E-07,1.126948505,1.85E-07,1.592897158,1.57E-07,E
NN,COLR,2014-12-20T17:47:48.690670Z,1.480966632,6.67E-07,1.381598835,7.79E-07,1.711549437,7.84E-07,E
HV,ALEP,2016-09-04T15:39:23.710000Z,6.320942658,9.47E-08,4.074912178,1.63E-07,4.696239394,1.44E-07,E
AZ,CRY,2015-09-17T09:03:26.380000Z,0.807422664,7.34E-08,1.128838862,6.43E-08,1.021961607,1.09E-07,E
GS,KAN08,2015-08-25T21:50:50.610000Z,1.637384862,2.97E-06,1.624855959,1.25E-05,1.882231915,9.03E-06,E
PB,B084,2016-10-21T14:17:23.270000Z,3.625089572,8.53E-09,2.227655128,6.70E-09,2.188305704,6.89E-09,E
PB,B040,2018-01-08T05:38:02.710000Z,23.33811767,6.63E-08,23.70996179,7.21E-08,26.04287051,6.44E-08,E
PB,B093,2013-05-06T06:30:54.650000Z,15.7463733,4.53E-08,17.55732048,4.75E-08,16.50296952,4.64E-08,E
SN,TAR,2014-06-03T04:33:45.170260Z,17.3077429,4.66E-08,18.98793473,3.58E-08,15.76883485,2.80E-08,E
AV,SPCN,2018-03-10T12:20:27.644000Z,13.31006783,9.87E-06,9.180680248,9.92E-06,9.457575877,1.01E-05,E
NN,OMMB,2017-11-08T09:10:59.050000Z,0.965155579,1.20E-07,1.072284115,1.59E-07,1.502941597,1.76E-07,E
GS,KS21,2014-12-28T23:04:46.980000Z,4.973763309,9.09E-07,2.10382584,2.06E-06,3.951828498,1.82E-06,E
PB,B081,2015-02-22T09:03:55.940000Z,5.643209611,1.60E-08,18.043333,4.16E-08,8.652468549,2.21E-08,E
HV,AHUD,2018-07-02T18:51:29.540000Z,9.469577632,1.36E-06,5.275459058,4.42E-06,4.870552897,2.91E-06,E
NM,PVMO,2015-02-28T23:08:45.680000Z,63.18967489,4.64E-05,116.6924608,9.79E-05,61.12346296,6.86E-05,E
PB,B918,2015-12-14T18:41:52.050000Z,86.63318017,1.93E-07,26.89920239,7.27E-08,21.56468816,7.61E-08,E
PB,B082,2008-09-05T12:43:46.770000Z,5.191470276,1.57E-08,5.548095156,1.55E-08,5.503331868,1.44E-08,E
NN,LCH,2015-05-23T05:51:01.759140Z,4.965137819,1.90E-07,1.893063585,1.56E-07,2.557190464,1.96E-07,E
PB,B073,2015-04-26T19:45:23.550000Z,10.70831145,4.68E-08,11.94795209,5.05E-08,11.49449652,4.97E-08,E
GS,KAN14,2015-02-05T22:48:25.690000Z,33.8729056,8.27E-06,28.10558466,1.30E-05,53.37427764,2.16E-05,E
PB,B945,2015-01-21T04:03:39.550000Z,1.218483138,1.38E-08,1.139763066,2.17E-08,4.078135857,6.44E-09,E
SN,DOM,2016-06-15T17:38:29.484150Z,14.4896406,1.51E-07,14.29037409,1.31E-07,12.71153884,1.27E-07,E
PB,B084,2015-12-01T04:46:42.820000Z,3.370386135,7.07E-09,2.077282319,5.00E-09,2.079292093,5.51E-09,E
AK,MCK,2017-07-29T10:58:54.771000Z,1.665567123,8.61E-08,1.437798467,6.58E-08,0.861758578,4.57E-08,E
PB,B093,2010-10-01T05:17:24.540000Z,7.247231212,2.36E-08,8.310925449,2.37E-08,7.17325328,2.20E-08,E
PB,B084,2015-07-18T05:03:10.600000Z,4.274562789,9.59E-09,2.514126256,6.86E-09,2.68675453,8.21E-09,E
PB,B207,2017-07-24T05:50:08.790000Z,4.329489364,2.17E-08,5.175498156,2.36E-08,5.358879804,2.32E-08,E
PB,B079,2018-04-20T10:11:18.840000Z,3.97427501,1.48E-08,2.928283307,1.23E-08,2.807022033,1.19E-08,E
PB,B941,2014-04-02T06:45:49.610000Z,10.74470121,3.67E-08,10.65452969,3.61E-08,10.60708866,4.29E-08,E
AK,PIN,2016-11-13T01:56:37.430000Z,5.264706399,2.34E-06,10.29588867,5.09E-06,7.703855879,3.63E-06,E
NN,TVH2,2011-06-19T08:51:31.368470Z,108.5786899,6.16E-06,94.71240655,6.73E-06,115.160801,8.04E-06,E
NN,LHV,2018-04-04T16:41:08.953900Z,0.901830213,4.53E-08,0.925596878,8.55E-08,0.536449621,4.63E-08,E
PB,B916,2013-10-27T10:09:15.100000Z,2.471731661,6.59E-09,3.310906201,7.86E-09,2.664371902,6.50E-09,E
AK,SSN,2012-08-09T18:22:21.274000Z,7.037758843,3.33E-07,3.986447954,3.16E-07,4.127063795,3.24E-07,E
AZ,BZN,2014-11-12T20:58:47.740000Z,8.449270713,1.22E-06,4.263915551,9.06E-07,2.609092705,9.79E-07,E
GS,OK032,2015-05-09T06:19:57.660000Z,4.991480735,8.49E-07,7.539005961,9.87E-07,6.793102119,1.13E-06,E
AZ,PFO,2011-12-19T09:53:27.590000Z,1.142491477,3.25E-07,2.290910856,6.24E-07,0.831835866,1.93E-07,E
TA,B05D,2013-02-21T11:50:12.190000Z,1.348835385,4.31E-07,2.532256955,8.58E-07,1.525953473,1.05E-06,E
TA,H21K,2018-07-17T05:08:49.656000Z,6.419755083,2.64E-07,7.720718456,2.73E-07,6.429879452,2.45E-07,E
PB,B093,2017-08-06T21:07:44.350000Z,43.28189525,1.20E-07,3.077068027,1.55E-07,1.062202608,3.86E-08,E
GS,KAN01,2018-04-17T04:36:21.450000Z,12.00033137,4.12E-06,20.39515318,8.64E-06,2.806508238,6.55E-06,E
PB,B081,2015-05-18T03:51:56.520000Z,7.640036579,3.89E-08,9.175610029,7.11E-08,12.28824138,4.64E-08,E
CC,JRO,2017-07-03T02:37:37.500000Z,1.125489221,7.63E-08,0.985452182,7.10E-08,1.402586629,8.71E-08,E
BK,SAO,2015-04-15T01:41:12.240000Z,0.689712415,3.70E-07,1.239002442,6.17E-07,1.231983477,6.35E-07,E
PB,B013,2017-02-24T07:13:15.220000Z,3.901240825,3.14E-08,5.133246006,2.14E-08,5.176789596,3.26E-08,E
TA,BNLO,2007-08-07T11:00:37.500000Z,1.009594715,1.05E-07,1.068164263,1.38E-07,0.951734443,9.47E-08,E
NN,WVA,2013-03-21T18:54:58.760030Z,32.12712977,2.18E-07,29.9626028,2.59E-07,21.14928526,2.16E-07,E
AK,NIKH,2017-09-02T02:38:14.311000Z,1.199347517,2.53E-07,1.480799033,3.34E-07,1.691771743,3.57E-07,E
PB,B067,2016-04-21T18:35:27.700000Z,9.462876041,5.90E-08,11.87185587,5.67E-08,14.20366794,5.55E-08,E
PB,B201,2014-07-15T01:54:32.360000Z,2.567468353,1.14E-08,2.677712196,1.01E-08,2.731396564,1.08E-08,E
PB,B082,2012-11-19T12:16:54.530000Z,8.010495697,2.68E-08,9.709236424,2.71E-08,10.89091493,2.77E-08,E
PB,B011,2007-02-20T21:11:46.510000Z,35.73812138,4.46E-07,43.475548,5.24E-07,45.46800717,4.77E-07,E
PB,B082,2015-02-01T10:12:38.520000Z,7.813936334,1.79E-08,7.698956953,1.96E-08,7.612842277,1.70E-08,E
AK,KLU,2017-11-28T10:23:04.271000Z,0.749836556,5.47E-07,0.877481388,4.74E-07,1.537726605,8.73E-07,E
PB,B082,2014-09-25T11:45:16.660000Z,4.541351244,1.21E-08,4.692193647,1.20E-08,4.95251235,1.24E-08,E
AV,RDT,2018-04-05T13:58:56.781000Z,1.125588648,1.53E-07,0.932093378,1.40E-07,0.999378324,1.91E-07,E
AZ,LVA2,2015-07-30T02:26:50.470000Z,0.803463123,1.22E-07,0.469593268,9.43E-08,1.292745961,2.29E-07,E
AK,NEA2,2018-02-02T01:56:56.675000Z,0.77321315,1.38E-07,1.108048257,1.22E-07,1.889592823,2.73E-07,E
AK,CAST,2012-07-13T12:21:29.140000Z,1.238992248,1.07E-07,1.356207641,1.21E-07,1.531409143,1.51E-07,E
PB,B082,2013-03-17T10:44:28.840000Z,2.489129683,7.17E-09,2.708277174,7.36E-09,2.828281908,7.01E-09,E
AK,SSN,2017-07-08T02:34:28.417000Z,2.222059726,1.10E-07,1.692081299,1.06E-07,1.706391635,1.14E-07,E
NN,LHV,2015-08-26T17:40:07.270140Z,0.523043612,4.26E-08,0.782316012,9.79E-08,0.86539025,1.02E-07,E
PB,B082,2012-09-15T12:34:39.770000Z,10.59113044,2.99E-08,12.7550862,3.37E-08,12.40625953,3.04E-08,E
AK,KTH,2018-02-15T02:00:53.678000Z,2.56189976,3.26E-07,1.603041377,2.41E-07,2.4985485,2.46E-07,E
PB,B082,2017-08-20T02:21:29.320000Z,5.577843611,1.68E-08,4.684664381,1.44E-08,5.72261063,1.64E-08,E
PB,B082,2013-05-05T16:47:31.100000Z,2.20954926,9.62E-09,2.121255926,9.53E-09,2.087139564,8.32E-09,E
BK,SAO,2018-01-12T08:16:02.640000Z,2.337470155,4.58E-07,1.771442103,9.28E-07,2.227346922,6.66E-07,E
PB,B916,2014-03-27T05:35:28.860000Z,26.4496264,7.70E-08,30.16324363,7.86E-08,26.23644132,6.59E-08,E
PB,B084,2011-02-05T18:14:41.400000Z,9.723887122,2.64E-08,6.621379041,1.88E-08,6.574794282,2.04E-08,E
PB,B081,2011-04-09T13:32:11.970000Z,0.956517379,5.39E-08,9.178298959,3.20E-08,8.040564291,2.40E-08,E
AK,BPAW,2012-02-26T07:56:05.080000Z,2.360558884,7.60E-07,1.678042964,4.30E-07,1.310637168,5.73E-07,E
AK,PPLA,2012-04-08T01:04:37.580000Z,1.692112539,1.51E-07,0.90440048,1.39E-07,2.074209955,1.85E-07,E
PB,B928,2012-10-13T20:56:45.690000Z,2.172761432,3.46E-08,1.955701242,2.93E-08,3.002602186,3.53E-08,E
PB,B916,2013-12-14T13:26:26.360000Z,16.83546742,4.58E-08,21.65089061,5.23E-08,17.41652919,4.19E-08,E
HV,UWE,2017-04-30T00:44:50.610000Z,1.409052674,2.49E-06,0.831975076,5.54E-06,1.805524859,7.52E-06,E
IM,MK31,2011-04-04T05:21:07.300000Z,21.74561863,1.95E-07,141.0773628,1.83E-07,118.8594504,1.72E-07,E
UW,DOSE,2013-02-27T19:15:24.320000Z,0.866501694,3.24E-07,2.16097381,6.40E-07,1.744156921,4.93E-07,E
SN,TIM,2012-09-27T02:09:46.008820Z,1.196515902,7.65E-09,1.455938739,9.31E-09,1.180712091,7.38E-09,E
PB,B011,2011-02-05T21:59:06.070000Z,24.69726974,1.69E-07,11.30672291,8.09E-08,16.09338296,9.30E-08,E
PB,B086,2015-05-23T11:58:04.690000Z,3.42244227,1.45E-08,6.777433883,1.60E-08,6.698357877,1.82E-08,E
CI,BFS,2015-06-20T12:14:07.440000Z,1.27647227,9.30E-08,1.614621381,8.63E-08,1.37602129,8.03E-08,E
AZ,SMER,2012-12-15T13:32:58.150000Z,1.308734875,2.70E-07,0.949250196,3.12E-07,0.823758307,2.07E-07,E
PB,B084,2016-12-27T03:12:28.130000Z,61.18688188,2.75E-07,48.7114839,1.86E-07,20.15171007,1.82E-07,E
AZ,BZN,2016-08-23T08:40:42.700000Z,2.156050122,1.73E-07,2.024296009,2.25E-07,1.006075713,2.27E-07,E
HV,HOVE,2016-12-12T01:31:47.820000Z,0.715645346,1.23E-06,1.426383912,3.66E-06,1.059329755,1.73E-06,E
PB,B081,2013-04-20T02:13:21.350000Z,5.60127815,2.17E-08,8.733581141,4.06E-08,7.601273987,2.50E-08,E
AZ,PFO,2015-09-22T03:31:34.280000Z,1.597765778,1.03E-07,1.890464043,1.17E-07,1.927822346,1.10E-07,E
NN,OMMB,2017-07-02T02:19:51.750000Z,5.593122096,3.82E-07,5.345164164,4.78E-07,5.512890996,4.90E-07,E
PB,B086,2015-07-20T15:03:07.910000Z,1.506253689,7.39E-09,2.246225593,7.36E-09,2.190093633,7.70E-09,E
PB,B086,2013-03-27T07:20:26.670000Z,73.26083253,1.18E-06,166.7112906,1.61E-06,41.71649168,1.77E-06,E
NN,RUB,2012-12-20T06:56:35.460000Z,0.885066167,4.33E-07,1.270804741,7.20E-07,1.079514879,7.44E-07,E
PB,B082,2018-03-01T22:25:50.490000Z,1.841286181,6.14E-09,1.756611414,5.51E-09,1.97220479,6.34E-09,E
AV,MNAT,2017-06-30T00:40:23.888000Z,7.062779237,1.64E-06,4.33811029,1.02E-06,5.906318855,1.07E-06,E
NN,OMMB,2014-11-19T12:17:42.270000Z,1.916176286,1.67E-07,2.218969796,1.89E-07,2.062258388,2.10E-07,E
AZ,BZN,2018-06-15T04:29:58.700000Z,0.570594323,9.91E-08,1.072641607,1.93E-07,1.102039926,2.69E-07,E
TA,M22K,2017-09-18T06:07:30.399000Z,1.044554895,2.42E-07,0.931344063,4.67E-07,2.244728799,6.97E-07,E
PB,B078,2016-02-05T12:56:25.390000Z,35.44614391,1.35E-07,39.83939059,1.39E-07,35.45753229,1.35E-07,E
PB,B084,2017-02-01T11:51:09.180000Z,4.956703512,1.03E-08,3.343786413,8.13E-09,3.12020741,8.59E-09,E
PB,B084,2011-08-09T02:33:19.020000Z,4.91532346,1.33E-08,3.152450268,9.92E-09,2.816573199,8.98E-09,E
